max_flux,label,温度,频率Hz,损耗
0.035428021,正弦波,25,63020,4918.264521
0.098134995,正弦波,25,158500,183014.8648
0.016809481,正弦波,25,125860,1472.545902
0.049356749,正弦波,25,177820,38777.3922
0.062965686,正弦波,25,63020,19682.18168
0.0397187,正弦波,25,56320,5773.018252
0.069754037,正弦波,25,79460,32688.69228
0.043920196,正弦波,25,125850,18310.96022
0.244365162,正弦波,25,50020,352985.6272
0.049662119,正弦波,25,223850,56012.09577
0.019528307,正弦波,25,79470,1351.668508
0.078401437,正弦波,25,251170,216823.809
0.012876639,正弦波,25,223850,1741.014541
0.07868076,正弦波,25,158500,107275.1057
0.049693959,正弦波,25,79470,14658.56285
0.055898567,正弦波,25,56310,13463.78092
0.173458631,正弦波,25,89090,321281.5746
0.039029124,正弦波,25,177820,21387.24118
0.039449802,正弦波,25,99950,10735.42591
0.013962225,正弦波,25,158500,1192.605834
0.019691659,正弦波,25,89080,1532.851361
0.039364992,正弦波,25,70840,7428.611375
0.110936068,正弦波,25,89090,112150.6467
0.069932977,正弦波,25,177820,94829.7604
0.07076822,正弦波,25,63020,26015.31362
0.174572498,正弦波,25,125860,516365.5506
0.24532644,正弦波,25,79460,613904.3362
0.062030123,正弦波,25,251170,120548.5034
0.055365141,正弦波,25,89090,21893.48022
0.077929871,正弦波,25,177820,123936.1788
0.024608916,正弦波,25,112160,3628.229323
0.015975163,正弦波,25,112170,1114.703914
0.125062307,正弦波,25,79460,128576.4162
0.070340831,正弦波,25,158500,79066.42767
0.034952926,正弦波,25,99950,7874.71143
0.027588814,正弦波,25,223850,12211.32658
0.013950231,正弦波,25,281850,3297.714089
0.024614345,正弦波,25,281860,13623.67457
0.019708545,正弦波,25,199500,4293.7631
0.027699311,正弦波,25,177820,8757.571039
0.194586228,正弦波,25,125860,679260.437
0.031205008,正弦波,25,79470,4655.897506
0.035534728,正弦波,25,50020,3332.72576
0.087732676,正弦波,25,79460,55945.83678
0.039222905,正弦波,25,125860,13775.45003
0.196221242,正弦波,25,112160,579176.7738
0.01951368,正弦波,25,125850,2256.015194
0.098803918,正弦波,25,89080,85243.35886
0.02220843,正弦波,25,99950,2390.408185
0.216041922,正弦波,25,112160,737413.5818
0.022001189,正弦波,25,158500,4080.613099
0.031091931,正弦波,25,281850,24592.22803
0.056103456,正弦波,25,79470,19233.50271
0.099362171,正弦波,25,99950,99316.153
0.263947758,正弦波,25,56310,534557.2986
0.044037148,正弦波,25,199500,34431.32807
0.022118764,正弦波,25,177820,4896.646627
0.06175435,正弦波,25,223850,98906.6499
0.043889165,正弦波,25,158510,24635.10959
0.035072535,正弦波,25,281850,33679.40394
0.063309253,正弦波,25,50020,14273.85421
0.044128618,正弦波,25,70840,9781.334899
0.017402733,正弦波,25,281850,5670.629505
0.034832921,正弦波,25,158500,13587.381
